filename,total_layers,max_z_height_mm,total_toolpath_mm,extrusion_travel_ratio,est_print_duration_sec,path_variability,bbox_x_mm,bbox_y_mm,aspect_ratio,first_layer_toolpath_mm,max_layer_toolpath_mm,sparse_layer_fraction,avg_feedrate_mms,feedrate_cv,retraction_count,retraction_density
catan-player-board_Grey Player.gcode.3mf,35,107.0,627978.17,159.0741,6820,12407.18,222.0,232.43,0.4604,6124.5,48241.35,0.0,233.41,0.7406,18379,525.1143
catapult-2arms.gcode.3mf,524,204.8,1605189.12,83.7474,13345,3435.9821,237.19,248.38,0.8245,6124.5,30322.79,0.5267,215.92,0.8672,60975,116.3645
catapult2.gcode.3mf,29,105.8,48542.55,27.8558,891,1044.9952,222.0,139.68,0.4766,6124.5,6124.5,0.0,196.18,0.9006,1105,38.1034
cc2867_rotator_v2.gcode.3mf,182,150.88,198889.18,21.8651,2745,737.0956,222.0,166.03,0.6796,6124.5,6124.5,0.2022,192.56,0.898,8576,47.1209
full-catapult.gcode.3mf,159,131.8,916321.05,86.895,10339,8011.1115,249.58,226.98,0.5281,6124.5,50118.26,0.4737,199.77,0.9747,36757,231.1761
lottery_3d_ballfall.gcode.3mf,135,127.0,604668.34,39.8702,8368,3360.4885,222.0,217.53,0.5721,6124.5,23559.94,0.5037,236.12,0.8161,23315,172.7037
motor_attach.gcode.3mf,210,142.0,267041.98,52.2275,3135,2348.583,222.0,174.22,0.6396,6147.54,13157.84,0.0,218.22,0.8607,11503,54.7762
palm.gcode.3mf,50,106.08,23782.83,12.5111,930,823.835,222.0,133.51,0.4778,6124.5,6124.5,0.0392,186.72,1.0621,1016,20.32
phone-stand.gcode.3mf,776,220.0,1030965.93,109.7713,12244,2782.222,222.0,203.16,0.991,6124.5,41304.72,0.4981,182.02,0.9097,31691,40.8389
plateplateplate.gcode.3mf,40,104.0,485719.79,408.9666,4517,19283.878,174.79,282.0,0.3688,1410.97,62478.23,0.6098,234.52,1.3103,16127,403.175
qr_levelled_4.gcode.3mf,70,114.0,182753.22,42.3783,3150,2719.6921,222.0,242.74,0.4696,6124.5,17335.43,0.4929,219.09,0.8654,8528,121.8286
shoeprint_plate_3.gcode.3mf,365,173.0,2829731.2,32.0061,13051,5220.7004,222.0,238.78,0.7245,6147.54,36486.88,0.0219,143.11,1.3751,108592,297.5123
sphere.gcode.3mf,384,176.8,856670.63,10.1456,17983,1553.9232,222.0,235.11,0.752,6124.5,17286.38,0.4547,181.21,0.9234,89944,234.2292
stick.gcode.3mf,20,104.0,19328.8,11.7477,579,1181.2765,222.0,126.78,0.4685,6147.54,6147.54,0.0,160.31,0.9829,241,12.05
stick2.gcode.3mf,28,105.6,57789.14,34.0459,909,887.4851,222.0,131.72,0.4757,6147.54,6147.54,0.0,191.88,0.8867,616,22.0
tim.gcode.3mf,50,110.0,41921.81,22.0653,952,979.9656,222.0,133.48,0.4955,6124.5,6124.5,0.5051,186.11,1.0061,909,18.18
voronoi keycap_16.gcode.3mf,50,110.0,283928.44,6.0757,8594,2953.7484,222.0,194.27,0.4955,6124.5,9559.93,0.49,110.83,1.4703,48970,979.4
voronoi keycap_16_PLA.gcode.3mf,50,110.0,283980.36,6.077,8265,2954.1627,222.0,194.27,0.4955,6124.5,9559.93,0.49,142.24,1.049,60890,1217.8
x1c_06_sc_c9.gcode.3mf,142,134.04,1498660.66,53.9829,20047,20939.4027,230.24,244.73,0.5477,6124.5,126877.9,0.4825,227.72,0.8314,85843,604.5282
x1c_10_sc_c12.gcode.3mf,320,176.76,1464843.78,35.6543,19931,11050.0242,232.59,243.95,0.7246,6124.5,97366.01,0.4299,217.56,0.8607,89475,279.6094
x1c_22_sc_c16.gcode.3mf,41,109.8,123623.85,41.4958,1897,3703.3569,222.0,156.25,0.4946,6124.5,12990.5,0.0,214.81,0.8829,5432,132.4878
xMODULAR_KEYBOARD.gcode.3mf,726,245.2,924469.35,9.8137,23680,406.3678,222.0,141.73,1.1045,3115.42,3920.09,0.0,167.96,0.9135,107506,148.0799
xyq3111111.3mf.gcode.3mf,118,132.96,858789.13,265.3255,6780,10473.1787,232.73,194.62,0.5713,6124.5,67642.78,0.4958,223.35,0.843,19024,161.2203
未命名.gcode.3mf,75,115.0,467607.36,178.1196,4079,13046.5851,222.0,196.38,0.518,6124.5,46176.1,0.0,233.44,0.7723,7695,102.6
